Gene.refGene	Mim Number	Phenotypes
PIK3CD	602839	Immunodeficiency 14, 615513 (3), Autosomal dominant
CLSTN1	611321	
CTNNBIP1	607758	
LZIC	610458	
NMNAT1	608700	Leber congenital amaurosis 9, 608553 (3), Autosomal recessive
UBE4B	613565	
KIF1B	605995	"?Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant; {Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Isolated cases; Pheochromocytoma, 171300 (3), Autosomal dominant"
PGD	172200	
APITD1	609130	
CORT	602784	
DFFA	601882	
PEX14	601791	Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3)
CASZ1	609895	
TARDBP	605078	"Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominant; Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant"
MASP2	605102	MASP2 deficiency, 613791 (3)
SRM	182891	
EXOSC10	605960	
MTOR	601231	Smith-Kingsmore syndrome, 616638 (3)
UBIAD1	611632	Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant
DISP3	611251	
FBXO2	607112	
FBXO44	609111	
FBXO6	605647	
MAD2L2	604094	
DRAXIN	612682	
MTHFR	607093	"Homocystinuria due to MTHFR deficiency, 236250 (3), Autosomal recessive; {Neural tube defects, susceptibility to}, 601634 (3), Autosomal recessive; {Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant; {Thromboembolism, susceptibility to}, 188050 (3), Autosomal dominant; {Vascular disease, susceptibility to} (3)"
CLCN6	602726	
NPPA	108780	"Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant; Atrial standstill 2, 615745 (3), Autosomal recessive"
NPPB	600295	
PLOD1	153454	Ehlers-Danlos syndrome, type VI, 225400 (3), Autosomal recessive
MFN2	608507	"Charcot-Marie-Tooth disease, type 2A2, 609260 (3), Autosomal recessive, Autosomal dominant; Hereditary motor and sensory neuropathy VIA, 601152 (3), Autosomal dominant"
TNFRSF8	153243	
TNFRSF1B	191191	
GBD2	609918	Gallbladder disease 2, 609918 (2)
DHRS3	612830	
LRRC38	615212	
PDPN	608863	
PRDM2	601196	
EFHD2	616450	
CTRC	601405	{Pancreatitis, chronic, susceptibility to}, 167800 (3), Autosomal dominant
CELA2A	609443	
CELA2B	609444	
CASP9	602234	
RSC1A1	601966	
SLC25A34	610817	
FBLIM1	607747	
SPEN	613484	
ANIB3	609122	Aneurysm, intracranial berry, 3, 609122 (2), Autosomal dominant
EA8	616055	Episodic ataxia, type 8, 616055 (2), Autosomal dominant
MEMO1	601201	
ZBTB17	604084	
HSPB7	610692	
CLCNKA	602024	Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive
CLCNKB	602023	"Bartter syndrome, type 3, 607364 (3), Autosomal recessive; Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive"
EPHA2	176946	Cataract 6, multiple types, 116600 (3), Autosomal dominant
ARHGEF19	612496	
FBXO42	609109	
NECAP2	611624	
TRNAG1, TRG1	189911	
NBPF1	610501	
RNU1-4	180680	
TRE-TTC3-1	180640	
CROCC	615776	
MFAP2	156790	
ATP13A2	610513	"?Ceroid lipofuscinosis, neuronal, 12, 606693 (3), Autosomal recessive; Kufor-Rakeb syndrome, 606693 (3), Autosomal recessive"
SDHB	185470	"Cowden syndrome 2, 612359 (3), Autosomal dominant; Gastrointestinal stromal tumor, 606764 (3), Autosomal dominant, Isolated cases; Paraganglioma and gastric stromal sarcoma, 606864 (3); Paragangliomas 4, 115310 (3), Autosomal dominant; Pheochromocytoma, 171300 (3), Autosomal dominant"
PADI2	607935	
PADI1	607934	
PADI3	606755	
PADI4	605347	{Rheumatoid arthritis, susceptibility to}, 180300 (3)
PADI6	610363	
ARHGEF10L	612494	
PAX7	167410	Rhabdomyosarcoma 2, alveolar, 268220 (3), Autosomal recessive
TAS1R2	606226	
ALDH4A1	606811	Hyperprolinemia, type II, 239510 (3), Autosomal recessive
UBR4	609890	
EMC1	616846	Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3), Autosomal recessive
AKR7L	608478	
AKR7A3	608477	
AKR7A2	603418	
PQLC2	614760	
CAPZB	601572	
MINOS1	616574	
NBL1	600613	
HTR6	601109	
OTUD3	611758	
PLA2G2A	172411	{Colorectal cancer}, 114500 (3), Autosomal dominant
PLA2G5	601192	[Fleck retina, familial benign], 228980 (3), Autosomal recessive
B6QTL1	612957	{Vitamin B6 plasma level QTL 1}, 612957 (2)
BFIS4, BFIC4	612627	Seizures, benign familial infantile, 4, 612627 (2)
PLA2G2D	605630	
PLA2G2F	616793	
UBXN10	616783	
CAMK2N1	614986	
MUL1	612037	
CDA	123920	
PINK1	608309	Parkinson disease 6, early onset, 605909 (3), Autosomal recessive
DDOST	602202	?Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive
KIF17	605037	
HP1BP3	616072	
EIF4G3	603929	
ECE1	600423	"Hirschsprung disease, cardiac defects, and autonomic dysfunction, 613870 (3); {Hypertension, essential, susceptibility to}, 145500 (3), Multifactorial"
NBPF3	612992	
ALPL	171760	"Hypophosphatasia, adult, 146300 (3), Autosomal recessive, Autosomal dominant; Hypophosphatasia, childhood, 241510 (3), Autosomal recessive; Hypophosphatasia, infantile, 241500 (3), Autosomal recessive; Odontohypophosphatasia, 146300 (3), Autosomal recessive, Autosomal dominant"
RAP1GAP	600278	
HSPG2	142461	"Dyssegmental dysplasia, Silverman-Handmaker type, 224410 (3), Autosomal recessive; Schwartz-Jampel syndrome, type 1, 255800 (3), Autosomal recessive"
CDC42	116952	Takenouchi-Kosaki syndrome, 616737 (3)
WNT4	603490	"Mullerian aplasia and hyperandrogenism, 158330 (3), Autosomal dominant; SERKAL syndrome, 611812 (3)"
ZBTB40	612106	
EPHA8	176945	
C1QA	120550	C1q deficiency, 613652 (3), Autosomal recessive
C1QC	120575	C1q deficiency, 613652 (3), Autosomal recessive
C1QB	120570	C1q deficiency, 613652 (3), Autosomal recessive
EPHB2	600997	{Prostate cancer/brain cancer susceptibility, somatic}, 603688 (3)
KDM1A	609132	Cleft palate, psychomotor retardation, and distinctive facial features, 616728 (3), Autosomal dominant
LUZP1	601422	
HTR1D	182133	
HNRNPR	607201	
ZNF436	611703	
TCEA3	604128	
ASAP3	616594	
E2F2	600426	
ID3	600277	
MDS2	607305	
RPL11	604175	Diamond-Blackfan anemia 7, 612562 (3)
TCEB3	600786	
LYPLA2	616143	
GALE	606953	Galactose epimerase deficiency, 230350 (3), Autosomal recessive
HMGCL	613898	HMG-CoA lyase deficiency, 246450 (3), Autosomal recessive
FUCA1	612280	Fucosidosis, 230000 (3), Autosomal recessive
CNR2	605051	
PNRC2	611882	
SRSF10	605221	
MYOM3	616832	
IFNLR1	607404	
GRHL3	608317	Van der Woude syndrome 2, 606713 (3), Autosomal dominant
STPG1	615826	
RCAN3	605860	
SRRM1	605975	
RUNX3	600210	
SYF2	607090	
RHD	111680	[Rh-negative blood type] (3)
TMEM50A	605348	
RHCE	111700	"[Blood group, Rhesus], 111690 (3); Rh-null disease, amorph type (3)"
TMEM57	610301	
LDLRAP1	605747	Hypercholesterolemia, familial, autosomal recessive, 603813 (3)
MAN1C1	616772	
SEPN1	606210	"Muscular dystrophy, rigid spine, 1, 602771 (3), Autosomal recessive; Myopathy, congenital, with fiber-type disproportion, 255310 (3), Autosomal recessive, Autosomal dominant"
PAQR7	607779	
STMN1	151442	
PAFAH2	602344	
EXTL1	601738	
SLC30A2	609617	Zinc deficiency, transient neonatal, 608118 (3), Autosomal dominant
TRIM63	606131	
PDIK1L	610785	
ZNF593	616698	
CNKSR1	603272	
CATSPER4	609121	
SH3BGRL3	615679	
UBXN11	609151	
CD52	114280	
ZNF683	616775	
LIN28A	611043	
DHDDS	608172	Retinitis pigmentosa 59, 613861 (3), Autosomal recessive
HMGN2	163910	
RPS6KA1	601684	
ARID1A	603024	Coffin-Siris syndrome 2, 614607 (3), Autosomal dominant
PIGV	610274	Hyperphosphatasia with mental retardation syndrome 1, 239300 (3), Autosomal recessive
SFN	601290	
NUDC	610325	
NR0B2	604630	Obesity, mild, early-onset, 601665 (3), Autosomal recessive, Autosomal dominant, Multifactorial
KDF1	616758	
TRNP1	616824	
SLC9A1	107310	?Lichtenstein-Knorr syndrome, 616291 (3), Autosomal recessive
SYTL1	608042	
MAP3K6	604468	
FCN3	604973	Immunodeficiency due to ficolin 3 deficiency, 613860 (3)
GPR3	600241	
WASF2	605875	
AHDC1	615790	Xia-Gibbs syndrome, 615829 (3), Autosomal dominant
EBVS1	132850	
FGR	164940	
IFI6	147572	
PPP1R8	602636	
RPA2	179836	
EYA3	601655	
PTAFR	173393	
ATPIF1	614981	
SESN2	607767	
MED18	612384	
PHACTR4	608726	
RCC1	179710	
SNHG3	603238	
SNORA73A	180645	
SNORA73B	603239	
TAF12	600773	
GMEB1	604409	
YTHDF2	610640	
OPRD1	165195	
EPB41	130500	Elliptocytosis-1, 611804 (3)
SRSF4	601940	
MECR	608205	
PTPRU	602454	
MATN1	115437	
LAPTM5	601476	
SDC3	186357	{Obesity, association with}, 601665 (3), Autosomal recessive, Autosomal dominant, Multifactorial
PUM1	607204	
NKAIN1	612871	
SNRNP40	607797	
FABP3	134651	
SERINC2	614549	
TINAGL1	616064	
HCRTR1	602392	
PEF1	610033	
COL16A1	120326	
ADGRB2	602683	
PTP4A2	601584	
KHDRBS1	602489	
KPNA6	610563	
CCDC28B	610162	{Bardet-Biedl syndrome 1, modifier of}, 209900 (3), Autosomal recessive, Digenic recessive
EIF3I	603911	
LCK	153390	?Immunodeficiency 22, 615758 (3), Autosomal recessive
HDAC1	601241	
MARCKSL1	602940	
TSSK3	607660	
ZBTB8OS	615891	
SYNC	611750	
YARS	603623	Charcot-Marie-Tooth disease, dominant intermediate C, 608323 (3), Autosomal dominant
S100PBP	611889	
FNDC5	611906	
HPCA	142622	Dystonia 2, torsion, autosomal recessive, 224500 (3), Autosomal recessive
RNF19B	610872	
AK2	103020	Reticular dysgenesis, 267500 (3), Autosomal recessive
AZIN2	608353	
TRIM62	616755	
ZSCAN20	611315	
CSMD2	608398	
CTRCT34, CATC3	612968	Cataract 34, multiple types, 612968 (2)
GBD3	609919	Gallbladder disease 3, 609919 (2)
MACST	613545	Macrostomia, 613545 (2)
GJB5	604493	
GJB4	605425	Erythrokeratodermia variabilis with erythema gyratum repens, 133200 (3), Autosomal recessive, Autosomal dominant
GJB3	603324	"Deafness, autosomal dominant 2B, 612644 (3), Autosomal dominant; Deafness, autosomal dominant, with peripheral neuropathy (3); Deafness, autosomal recessive (3); Deafness, digenic, GJB2/GJB3, 220290 (3), Autosomal recessive, Digenic dominant; Erythrokeratodermia variabilis et progressiva, 133200 (3), Autosomal recessive, Autosomal dominant"
GJA4	121012	
ZMYM6	613567	
SFPQ	605199	
ZMYM4	613568	
KIAA0319L	613535	
NCDN	608458	
TFAP2E	614428	
PSMB2	602175	
CLSPN	605434	
AGO4	607356	
AGO1	606228	
AGO3	607355	
ADPRHL2	610624	
COL8A2	120252	"Corneal dystrophy, Fuchs endothelial, 1, 136800 (3), Autosomal dominant; Corneal dystrophy, posterior polymorphous 2, 609140 (3)"
TRAPPC3	610955	
THRAP3	603809	
STK40	609437	
OSCP1	608854	
MRPS15	611979	
CSF3R	138971	?Neutrophilia, hereditary, 162830 (3), Autosomal dominant
GRIK3	138243	
ZC3H12A	610562	
MEAF6	611001	
SNIP1	608241	Psychomotor retardation, epilepsy, and craniofacial dysmorphism, 614501 (3), Autosomal recessive
DNALI1	602135	
GNL2	609365	
RSPO1	609595	"Palmoplantar hyperkeratosis and true hermaphroditism, 610644 (3); Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal, 610644 (3)"
C1orf109	614799	
CDCA8	609977	
EPHA10	611123	
YRDC	612276	
MTF1	600172	
INPP5B	147264	
SF3A3	605596	
FHL3	602790	
UTP11	609440	
POU3F1	602479	
RRAGC	608267	
MYCBP	606535	
GJA9	611923	
AKIRIN1	615164	
NDUFS5	603847	
MACF1	608271	
PABPC4	603407	
HEYL	609034	
NT5C1A	610525	
PPIE	602435	
BMP8B	602284	
OXCT2	610289	
MYCL	164850	
MFSD2A	614397	Microcephaly 15, primary, autosomal recessive, 616486 (3), Autosomal recessive
PPT1	600722	Ceroid lipofuscinosis, neuronal, 1, 256730 (3), Autosomal recessive
RLF	180610	
ZMPSTE24	606480	"Mandibuloacral dysplasia with type B lipodystrophy, 608612 (3), Autosomal recessive; Restrictive dermopathy, lethal, 275210 (3), Autosomal recessive"
COL9A2	120260	"Epiphyseal dysplasia, multiple, 2, 600204 (3), Autosomal dominant; {Intervertebral disc disease, susceptibility to}, 603932 (3); ?Stickler syndrome, type V, 614284 (3), Autosomal recessive"
SMAP2	616916	
RIMS3	611600	
NFYC	605344	
MIR30C1	615151	
KCNQ4	603537	Deafness, autosomal dominant 2A, 600101 (3), Autosomal dominant
CITED4	606815	
CTPS1	123860	Immunodeficiency 24, 615897 (3)
SCMH1	616396	
FOXO6	611457	
EDN2	131241	
HIVEP3	606649	
GUCA2B	601271	
GUCA2A	139392	
FOXJ3	616035	
PPCS	609853	
PPIH	606095	
YBX1	154030	
CLDN19	610036	Hypomagnesemia 5, renal, with ocular involvement, 248190 (3), Autosomal recessive
P3H1	610339	Osteogenesis imperfecta, type VIII, 610915 (3), Autosomal recessive
ERMAP	609017	"[Blood group, Radin], 111620 (3); [Blood group, Scianna system], 111750 (3)"
SLC2A1	143090	
SLC2A1	138140	"Dystonia 9, 601042 (3), Autosomal dominant; {Epilepsy, idiopathic generalized, susceptibility to, 12}, 614847 (3), Autosomal dominant; GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (3), Autosomal recessive, Autosomal dominant; GLUT1 deficiency syndrome 2, childhood onset, 612126 (3), Autosomal dominant; Stomatin-deficient cryohydrocytosis with neurologic defects, 608885 (3), Autosomal dominant"
EBNA1BP2	614443	
CFAP57	614259	
TIE1	600222	
MPL	159530	"Myelofibrosis with myeloid metaplasia, somatic, 254450 (3); Thrombocythemia 2, 601977 (3), Autosomal dominant, Somatic mutation; Thrombocytopenia, congenital amegakaryocytic, 604498 (3), Autosomal recessive"
CDC20	603618	
ELOVL1	611813	
MED8	607956	
SZT2	615463	Epileptic encephalopathy, early infantile, 18, 615476 (3), Autosomal recessive
PTPRF	179590	?Breasts and/or nipples, aplasia or hypoplasia of, 2, 616001 (3), Autosomal recessive
KDM4A	609764	
PTOS1	178300	Ptosis, hereditary congenital, 1, 178300 (2), Autosomal dominant
ST3GAL3	606494	"Epileptic encephalopathy, early infantile, 15, 615006 (3), Autosomal recessive; Mental retardation, autosomal recessive 12, 611090 (3)"
IPO13	610411	
DPH2	603456	
ATP6V0B	603717	
B4GALT2	604013	
SLC6A9	601019	
KLF17	609602	
DMAP1	605077	
ERI3	609917	
RNF220	616136	
KIF2C	604538	
RPS8	600357	
BEST4	607336	
PLK3	602913	
TCTEX1D4	611713	
PTCH2	603673	"Basal cell carcinoma, somatic, 605462 (3); Basal cell nevus syndrome, 109400 (3), Autosomal dominant; Medulloblastoma, 155255 (3), Autosomal dominant"
EIF2B3	606273	Leukoencephalopathy with vanishing white matter, 603896 (3), Autosomal recessive
UROD	613521	"Porphyria cutanea tarda, 176100 (3), Autosomal dominant; Porphyria, hepatoerythropoietic, 176100 (3), Autosomal dominant"
MUTYH	604933	"Adenomas, multiple colorectal, 608456 (3); Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas, 132600 (3), Somatic mutation; Gastric cancer, somatic, 613659 (3)"
TOE1	613931	
TESK2	604746	
MMACHC	609831	Methylmalonic aciduria and homocystinuria, cblC type, 277400 (3), Autosomal recessive
PRDX1	176763	
AKR1A1	103830	
NASP	603185	
IPP	147485	
MAST2	612257	
PIK3R3	606076	
TSPAN1	613170	
POMGNT1	606822	"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3, 253280 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3, 613151 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3, 613157 (3), Autosomal recessive"
LURAP1	616129	
RAD54L	603615	"Adenocarcinoma, colonic, somatic (3); {Breast cancer, invasive ductal}, 114480 (3), Autosomal dominant; Lymphoma, non-Hodgkin, somatic, 605027 (3)"
BMND14	612728	[Bone mineral density QTL 14], 612728 (2)
FWS	613606	Forsythe-Wakeling syndrome, 613606 (2), Autosomal recessive
OFC13	613857	Orofacial cleft 13, 613857 (2), Autosomal dominant
SKINT1L	616392	
UQCRH	613844	
NSUN4	615394	
FAAH	602935	{Drug addiction, susceptibility to}, 606581 (3)
DMBX1	607410	
KNCN	611455	
MKNK1	606724	
CYP4B1	124075	
CYP4A11	601310	
CYP4X1	614999	
CYP4A22	615341	
PDZK1IP1	607178	
TAL1	187040	Leukemia, T-cell acute lymphocytic, somatic, 613065 (3)
STIL	181590	Microcephaly 7, primary, autosomal recessive, 612703 (3), Autosomal recessive
CMPK1	191710	
FOXE3	601094	"Anterior segment mesenchymal dysgenesis, 107250 (3), Autosomal dominant; Aphakia, congenital primary, 610256 (3), Autosomal recessive"
FOXD2	602211	
TRABD2B	614913	
SPATA6	613947	
AGBL4	616476	
ELAVL4	168360	Neuropathy, paraneoplastic sensory (1)
DEL1p32p31, C1DELp32p31	613735	Chromosome 1p32-p31 deletion syndrome, 613735 (4), Isolated cases
PARK10	606852	{Parkinson disease 10}, 606852 (2)
SCA37	615945	Spinocerebellar ataxia 37, 615945 (2), Autosomal dominant
STQTL23	613548	{Stature QTL 23}, 613548 (2)
DMRTA2	614804	
FAF1	604460	
CDKN2C	603369	
RNF11	612598	
EPS15	600051	
OSBPL9	606737	
NRDC	602651	
RAB3B	179510	
TXNDC12	609448	
ZFYVE9	603755	
ORC1	601902	Meier-Gorlin syndrome 1, 224690 (3), Autosomal recessive
ZCCHC11	613692	
GPX7	615784	
COA7	615623	
SCP2	184755	Leukoencephalopathy with dystonia and motor neuropathy, 613724 (3)
PODN	608661	
CPT2	600650	"CPT II deficiency, lethal neonatal, 608836 (3), Autosomal recessive; CPT deficiency, hepatic, type II, 600649 (3), Autosomal recessive; {Encephalopathy, acute, infection-induced, 4, susceptibility to}, 614212 (3), Autosomal recessive, Autosomal dominant; Myopathy due to CPT II deficiency, 255110 (3), Autosomal recessive"
MAGOH	602603	
LRP8	602600	{Myocardial infarction, susceptibility to}, 608446 (3)
DMRTB1	614805	
GLIS1	610378	
NDC1	610115	
DIO1	147892	
CDCP2	612320	
MRPL37	611843	
SSBP3	607390	
ACOT11	606803	
TTC4	606753	
PARS2	612036	
LEXM	616446	
DHCR24	606418	Desmosterolosis, 602398 (3), Autosomal recessive
BSND	606412	"Bartter syndrome, type 4a, 602522 (3), Autosomal recessive; Sensorineural deafness with mild renal dysfunction, 602522 (3), Autosomal recessive"
PCSK9	607786	"Hypercholesterolemia, familial, 3, 603776 (3); {Low density lipoprotein cholesterol level QTL 1}, 603776 (3)"
USP24	610569	
PRKAA2	600497	
C8A	120950	C8 deficiency, type I, 613790 (3), Autosomal recessive
C8B	120960	C8 deficiency, type II, 613789 (3), Autosomal recessive
DAB1	603448	
TACSTD2	137290	Corneal dystrophy, gelatinous drop-like, 204870 (3), Autosomal recessive
MYSM1	612176	
JUN	165160	
FGGY	611370	
HOOK1	607820	
CYP2J2	601258	
AIR	601676	Acute insulin response, 601676 (2)
ASRT4	610906	{Asthma-related traits, susceptibility to, 4}, 610906 (2)
AVSD1	606215	{Atrioventricular septal defect, susceptibility to, 1}, 606215 (2)
OFC14	615892	Orofacial cleft 14, 615892 (2), Autosomal recessive
OPHLC, C1DUPp31.3, DUP1p31.3	164750	Omphalocele due to duplication of 1p31.3, 164750 (4), Autosomal dominant
PAOD1	606787	Peripheral arterial occlusive disease 1, 606787 (2)
POROK5, DSAP3	612293	Porokeratosis 5, disseminated superficial actinic, 612293 (2)
NFIA	600727	
TM2D1	610080	
PATJ	603199	
KANK4	614612	
USP1	603478	
DOCK7	615730	Epileptic encephalopathy, early infantile, 23, 615859 (3), Autosomal recessive
ANGPTL3	604774	Hypobetalipoproteinemia, familial, 2, 605019 (3), Autosomal recessive
ATG4C	611339	
FOXD3	611539	{Autoimmune disease, susceptibility to, 1}, 607836 (3)
ALG6	604566	Congenital disorder of glycosylation, type Ic, 603147 (3), Autosomal recessive
ITGB3BP	605494	
PGM1	171900	Congenital disorder of glycosylation, type It, 614921 (3), Autosomal recessive
ROR1	602336	
RAVER2	609953	
JAK1	147795	
MIR101-1	612511	
AK4	103030	
DNAJC6	608375	Parkinson disease 19, juvenile-onset, 615528 (3), Autosomal recessive
LEPROT	613461	
LEPR	601007	Obesity, morbid, due to leptin receptor deficiency, 614963 (3)
PDE4B	600127	
SGIP1	611540	
INSL5	606413	
MIER1	616848	
SLC35D1	610804	Schneckenbecken dysplasia, 269250 (3), Autosomal recessive
IL23R	607562	"{Inflammatory bowel disease 17, protection against}, 612261 (3); {Psoriasis, protection against}, 605606 (3)"
IL12RB2	601642	
SERBP1	607378	
GADD45A	126335	
GNG12	615405	
GNG12-AS1	615406	
DIRAS3	605193	
WLS	611514	
RPE65	180069	"Leber congenital amaurosis 2, 204100 (3), Autosomal recessive; Retinitis pigmentosa 20, 613794 (3)"
DEPDC1	612002	
PBC3	613008	{Biliary cirrhosis, primary, 3}, 613008 (2)
SPG29	609727	Spastic paraplegia 29, autosomal dominant, 609727 (2), Autosomal dominant
LRRC7	614453	
PIN1P1	602051	
SRSF11	602010	
ANKRD13C	615125	
HHLA3	604372	
CTH	607657	"Cystathioninuria, 219500 (3), Autosomal recessive; Homocysteine, total plasma, elevated (3)"
PTGER3	176806	
ZRANB2	604347	
NEGR1	613173	
FPGT	603609	
TNNI3K	613932	?Cardiac conduction disease with or without dilated cardiomyopathy, 616117 (3), Autosomal dominant
CRYZ	123691	
TYW3	611245	
LHX8	604425	
ACADM	607008	Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3), Autosomal recessive
RABGGTB	179080	
MSH4	602105	
ST6GALNAC3	610133	
ST6GALNAC5	610134	
PIGK	605087	
AK5	608009	
USP33	615146	
MIGA1	616773	
NEXN	613121	"Cardiomyopathy, dilated, 1CC, 613122 (3); Cardiomyopathy, hypertrophic, 20, 613876 (3), Autosomal dominant"
FUBP1	603444	
DNAJB4	611327	
