Maladie	Gene	Inheritance
MYAS	SLC25A1	AR
MYAS	SLC5A7	AD(neuropathy)/AR(CMS)
MYAS	SNAP25	?
MYAS	SYT2	AD
MYAS	TPM3	AD
DMC	LAMA2	AR
DMC	COL6A1	AR/AD
DMC	COL6A2	AR/AD
DMC	COL6A3	AR/AD
DMC	SEPN1	AR
DMC	FHL1	AR
DMC	LMNA	AD
DMC	ACTA1	AR
DMC	ITGA7	AR
DMC	DNM2	AD
DMC	TCAP	AR
DMC	CHKB	AR
DMC	TRAPPC11	AR
ADG	FKTN	AR
ADG	FKRP	AR
ADG	ISPD	AR
ADG	POMT1	AR
ADG	POMT2	AR
ADG	POMGNT1	AR
ADG	GMPPB	AR
ADG	B3GALNT2	AR
ADG	POMK	AR
ADG	TMEM5	AR
ADG	LARGE	AR
ADG	POMGNT2	AR
ADG	B3GNT1	AR
ADG	DPM1	AR
ADG	DPM2	AR
ADG	DPM3	AR
ADG	DOLK	AR
ADG	SLC35A1	AR
ADG	SLC35A2	X
ADG	PGM1	AR
ADG	DAG1	AR
ADG	GYLTL1B	AR
ADG	NEK5	AR
ADG	TUBB2b	AR
ADG	ANO5	AR
ADG	COL4A1	AR
ADG	GPR56	AR
MD	DYSF	AR
MD	TTN	AR/AD
MD	GNE	AR
MD	MYH7	AD
MD	MATR3	AD
MD	TIA1	AD
MD	MYOT	AD
MD	NEB	AR
MD	CAV3	AD
MD	LDB3/ZASP	AD
MD	ANO5	AR
MD	DNM2	AD
MD	FLNC	AD
MD	VCP	AD
MD	TCAP	AR
MD	PNPLA2	AR
MD	DES	AR
MD	CRYAB	AR/AD
MD	FHL1	X
MD	LMNA	AR/AD
MD	SQSTM1	AD
MD	DNAJB6	AD
RETR	COL1A1	AD
RETR	COL1A2	AR/AD
RETR	COL3A1	AR/AD
RETR	COL5A1	AD
RETR	COL5A2	AD
RETR	COL5A3	AD?
RETR	COL6A1	AR/AD
RETR	COL6A2	AR/AD
RETR	COL6A3	AR/AD
RETR	COL6A6	?
RETR	COL12A1	AR/AD
RETR	TNXB	AR
RETR	SEPN1	AR
RETR	RYR1	AR
RETR	LMNA	AR/AD
RETR	EMD	X
RETR	FHL1	X
RETR	TTN	AR/AD
RETR	PLOD1	AR
RETR	ADAMST2	AR
RETR	ITGA7	AR
RETR	TRIM32	AR
RETR	BAG3	AD
RETR	LAMA2	AR
RETR	HSPG2	AR
RETR	FBLN5	AD
RETR	FKBP14	AR
RETR	STIM1	AD
MMF	CRYAB	AD
MMF	DES	AD
MMF	LDB3/ZASP	AD
MMF	MYOT	AD
MMF	FLNC	AD
MMF	BAG3	AD
MMF	ACTA1	AR/AD
MMF	FHL1	X
MMF	TTN	AR/AD
MMF	VCP	AD
MMF	GNE	AR
MMF	MYH2	AR/AD
MMF	SQSTM1	AD
MMF	DNAJB6	AD
PP	CACNA1S	AD
PP	KCNJ2	AD
PP	SCN4A	AD
META	GAA	AR
META	AGL	AR
META	PYGM	AR
META	PFKM	AR
META	CPT2	AR
META	GBE1	AR
META	PHKA1	XR
META	PHKB	AR
META	PGM1	AR
META	GYG1	AR
META	GYS1	AR
META	PRKAG2	AD
META	RBCK1	AR
META	PGK1	XR
META	PGAM2	AR
META	LDHA	AR
META	ENO3	AD
META	LAMP2	XR
META	AMPD1	AR
META	SLC22A5	AR
META	SLC25A20	AR
META	ETFA	AR
META	ETFB	AR
META	ETFDH	AR
META	ACADVL	AR
META	ABHD5	AR
META	PNPLA2	AR
META	LPIN1	AR
META	PNPLA8	AR
META	SLC25A32	AR
META	FLAD1	AR
